StudentKey, TermType, AcademicYear, AcademicLevelDescription, NewStatusOfficialDescr, MatricTermType, Female_ind, IPEDSEthnicityDescription, SourceAge, Highschoolgpa, MatricTransferGPA, RptgPlanOrgDescr, RptgPlanOrgDescr2, TermCreditsAttempted, CumulativeCreditsEarned, Cum_GPA_BOT, TermGPA_EOT, Calculated_Term_GPA, CumGPA_EOT, Mean_AVG_Cls_grade_per_term, Mean_AVG_Crs_grade_per_term, , 
4156, Spring, 2013, Senior, Continuing UG, Fall, 0, Two or More, 26, 3.13, , Biol Sci, , 4, 134, 2.096, 2, 2, 2.093, 2.806, 2.811, , 
4182, Fall, 2010, Senior, Continuing UG, Fall, 1, Asian, 23, 4.35, , Chemistry, , 15, 122, 2.405, 3.6, 3.6, 2.532, 2.708, 2.71, , 
4182, Spring, 2010, Senior, Continuing UG, Fall, 1, Asian, 23, 4.35, , Info Sys, , 12, 137, 2.532, 3.6, 3.6, 2.635, 2.75, 2.752, , 
4182, Fall, 2011, Senior, Continuing UG, Fall, 1, Asian, 24, 4.35, , Info Sys, , 16, 152, 2.635, 3.813, 3.813, 2.744, 2.677, 2.679, , 
4182, Spring, 2011, Senior, Continuing UG, Fall, 1, Asian, 24, 4.35, , Info Sys, , 12, 168, 2.744, 4, 4, 2.826, 2.73, 2.733, , 
4221, Fall, 2010, Junior, Continuing UG, Fall, 0, Asian, 24, 3.5, , Biol Sci, , 12, 74, 3.329, 0, 0, 3.329, 2.708, 2.71, , 
4221, Spring, 2010, Junior, Continuing UG, Fall, 0, Asian, 25, 3.5, , Biol Sci, , 14, 74, 3.329, 0, 0, 3.203, 2.75, 2.752, , 
4221, Fall, 2011, Junior, Continuing UG, Fall, 0, Asian, 25, 3.5, , Biol Sci, , 12, 74, 3.203, 0, 0, 3.203, 2.677, 2.679, , 
4221, Spring, 2011, Junior, Continuing UG, Fall, 0, Asian, 26, 3.5, , Biol Sci, , 15, 74, 3.203, 0, 0, 3.203, 2.73, 2.733, , 
4221, Fall, 2012, Junior, Continuing UG, Fall, 0, Asian, 26, 3.5, , Biol Sci, , 3, 74, 3.203, 0, 0, 3.203, 2.715, 2.717, , 
4221, Fall, 2015, Junior, Continuing UG, Fall, 0, Asian, 29, 3.5, , Biol Sci, , 4, 74, 3.203, 0, , 3.203, , , , 
4381, Fall, 2010, Freshman, New UG Other, Fall, 0, White, 23, 3.52, , Comp Sci & EE, , 19, 0, 0, 3.368, 3.368, 3.368, 2.708, 2.71, , 
4381, Spring, 2010, Sophomore, Continuing UG, Fall, 0, White, 24, 3.52, , Comp Sci & EE, , 18, 19, 3.368, 3.611, 3.611, 3.486, 2.75, 2.752, , 
4381, Fall, 2011, Sophomore, Continuing UG, Fall, 0, White, 24, 3.52, , Info Sys, , 18, 46, 3.558, 3.667, 3.667, 3.59, 2.677, 2.679, , 
4381, Spring, 2011, Junior, Continuing UG, Fall, 0, White, 25, 3.52, , Info Sys, , 16, 67, 3.609, 3.769, 3.063, 3.636, 2.73, 2.733, , 
4381, Fall, 2012, Senior, Continuing UG, Fall, 0, White, 25, 3.52, , Info Sys, , 12, 80, 3.636, 0, , 3.636, 2.715, 2.717, , 
4381, Spring, 2012, Senior, Continuing UG, Fall, 0, White, 26, 3.52, , Info Sys, , 18, 80, 3.636, 3.667, 3.667, 3.642, 2.779, 2.783, , 
4381, Fall, 2013, Senior, Continuing UG, Fall, 0, White, 26, 3.52, , Info Sys, , 16, 98, 3.642, 3.563, 3.563, 3.631, 2.75, 2.752, , 
4433, Spring, 2010, Senior, New UG Other, Fall, 0, White, 26, , 3.27, Math & Stat, , 7, 102, 2.255, 1.429, 1.429, 2.148, 2.75, 2.752, , 
